Date,Result,Star Ball,All Star Bonus,Est. Jackpot
"Wednesday, Mar 01, 2023","8, 14, 17, 38, 41",7,x4,"$38.51 Million "
"Monday, Feb 27, 2023","12, 17, 41, 43, 51",5,x3,"$38.31 Million "
"Saturday, Feb 25, 2023","14, 22, 34, 39, 50",8,x3,"$38.01 Million "
"Wednesday, Feb 22, 2023","6, 24, 25, 31, 38",7,x3,"$37.75 Million "
"Monday, Feb 20, 2023","4, 10, 19, 27, 39",10,x2,"$37.56 Million "
"Saturday, Feb 18, 2023","5, 17, 25, 48, 52",1,x2,"$36.33 Million "
"Wednesday, Feb 15, 2023","3, 11, 32, 37, 43",1,x2,"$36.07 Million "
"Monday, Feb 13, 2023","2, 17, 21, 22, 26",10,x3,"$35.87 Million "
"Saturday, Feb 11, 2023","2, 3, 24, 28, 46",9,x2,"$34.9 Million "
"Wednesday, Feb 08, 2023","4, 5, 29, 36, 37",7,x2,"$34.67 Million "
"Monday, Feb 06, 2023","3, 4, 20, 32, 35",6,x5,"$34.62 Million "
"Saturday, Feb 04, 2023","8, 17, 18, 21, 52",5,x3,"$34.57 Million "
"Wednesday, Feb 01, 2023","10, 16, 33, 34, 45",4,x2,"$34.52 Million "
"Monday, Jan 30, 2023","2, 16, 28, 32, 38",8,x3,"$34.47 Million "
"Saturday, Jan 28, 2023","1, 24, 34, 37, 52",9,x2,"$34.42 Million "
"Wednesday, Jan 25, 2023","9, 15, 28, 47, 49",7,x2,"$34.37 Million "
"Monday, Jan 23, 2023","6, 8, 16, 43, 47",9,x3,"$34.32 Million "
"Saturday, Jan 21, 2023","25, 27, 29, 35, 50",6,x4,"$34.27 Million "
"Wednesday, Jan 18, 2023","12, 18, 24, 27, 45",1,x5,"$34.22 Million "
"Monday, Jan 16, 2023","7, 20, 21, 27, 52",4,x2,"$34.17 Million "
"Saturday, Jan 14, 2023","25, 35, 37, 38, 48",5,x2,"$34.12 Million "
"Wednesday, Jan 11, 2023","5, 23, 45, 46, 51",3,x2,"$34.07 Million "
"Monday, Jan 09, 2023","27, 32, 34, 39, 43",7,x2,"$34.02 Million "
"Saturday, Jan 07, 2023","26, 28, 32, 36, 49",8,x3,"$33.97 Million "
"Wednesday, Jan 04, 2023","2, 12, 30, 37, 46",1,x2,"$33.68 Million "
"Monday, Jan 02, 2023","10, 12, 13, 27, 50",7,x5,"$33.45 Million "
"Saturday, Dec 31, 2022","9, 29, 30, 35, 42",8,x5,"$32.44 Million "
"Wednesday, Dec 28, 2022","2, 10, 21, 44, 45",7,x5,"$32.18 Million "
"Monday, Dec 26, 2022","4, 11, 26, 49, 51",10,x3,"$32 Million "
"Saturday, Dec 24, 2022","7, 12, 40, 44, 48",1,x3,"$31.14 Million "
"Wednesday, Dec 21, 2022","12, 14, 23, 38, 45",2,x2,"$31.09 Million "
"Monday, Dec 19, 2022","4, 10, 25, 34, 50",5,x3,"$31.04 Million "
"Saturday, Dec 17, 2022","7, 12, 16, 40, 49",1,x5,"$30.99 Million "
"Wednesday, Dec 14, 2022","18, 21, 22, 30, 32",3,x4,"$30.94 Million "
"Monday, Dec 12, 2022","3, 23, 31, 33, 51",7,x3,"$30.89 Million "
"Saturday, Dec 10, 2022","2, 17, 29, 31, 43",10,x2,"$30.84 Million "
"Wednesday, Dec 07, 2022","2, 19, 22, 47, 48",5,x2,"$30.79 Million "
"Monday, Dec 05, 2022","4, 13, 17, 24, 34",1,x3,"$30.74 Million "
"Saturday, Dec 03, 2022","30, 32, 36, 42, 43",10,x2,"$30.69 Million "
"Wednesday, Nov 30, 2022","12, 21, 35, 42, 45",6,x2,"$30.64 Million "
"Monday, Nov 28, 2022","5, 6, 29, 34, 49",4,x4,"$30.59 Million "
"Saturday, Nov 26, 2022","1, 27, 31, 46, 52",7,x3,"$30.54 Million "
"Wednesday, Nov 23, 2022","12, 21, 29, 35, 42",3,x2,"$30.49 Million "
"Monday, Nov 21, 2022","3, 12, 14, 29, 32",4,x5,"$30.44 Million "
"Saturday, Nov 19, 2022","9, 16, 19, 32, 48",5,x3,"$30.39 Million "
"Wednesday, Nov 16, 2022","3, 19, 26, 43, 50",2,x3,"$30.34 Million "
"Monday, Nov 14, 2022","9, 23, 29, 40, 49",10,x3,"$30.29 Million "
"Saturday, Nov 12, 2022","8, 20, 21, 26, 38",10,x4,"$30.24 Million "
"Wednesday, Nov 09, 2022","1, 5, 7, 15, 52",4,x3,"$29.8 Million "
"Monday, Nov 07, 2022","5, 13, 15, 17, 20",9,x2,"$29.8 Million "
"Saturday, Nov 05, 2022","5, 20, 25, 40, 46",1,x4,"$29.53 Million "
"Wednesday, Nov 02, 2022","12, 19, 37, 50, 52",9,x2,"$29.48 Million "
"Monday, Oct 31, 2022","4, 23, 26, 48, 51",4,x2,"$29.43 Million "
"Saturday, Oct 29, 2022","14, 16, 27, 38, 49",4,x2,"$29.38 Million "
"Wednesday, Oct 26, 2022","1, 10, 26, 35, 39",6,x2,"$29.11 Million "
"Monday, Oct 24, 2022","17, 19, 22, 31, 52",4,x5,"$28.9 Million "
"Saturday, Oct 22, 2022","5, 19, 44, 49, 52",2,x2,"$27.32 Million "
"Wednesday, Oct 19, 2022","8, 30, 35, 44, 52",7,x2,"$27.08 Million "
"Monday, Oct 17, 2022","19, 20, 24, 30, 39",7,x2,"$26.89 Million "
"Saturday, Oct 15, 2022","3, 16, 24, 26, 50",1,x3,"$26.34 Million "
"Wednesday, Oct 12, 2022","2, 14, 20, 40, 48",2,x2,"$26.1 Million "
"Monday, Oct 10, 2022","4, 8, 14, 32, 44",4,x4,"$25.92 Million "
"Saturday, Oct 08, 2022","1, 4, 9, 14, 49",3,x2,"$25.12 Million "
"Wednesday, Oct 05, 2022","14, 21, 37, 38, 47",5,x4,"$24.88 Million "
"Monday, Oct 03, 2022","6, 7, 9, 28, 39",2,x3,"$24.69 Million "
"Saturday, Oct 01, 2022","5, 7, 13, 16, 38",10,x3,"$24.33 Million "
"Wednesday, Sep 28, 2022","13, 38, 39, 44, 45",6,x3,"$24.11 Million "
"Monday, Sep 26, 2022","21, 22, 24, 46, 51",6,x2,"$23.94 Million "
"Saturday, Sep 24, 2022","3, 20, 33, 34, 42",6,x4,"$23.43 Million "
"Wednesday, Sep 21, 2022","6, 32, 38, 43, 45",8,x2,"$23.21 Million "
"Monday, Sep 19, 2022","12, 31, 45, 47, 48",6,x2,"$23.03 Million "
"Saturday, Sep 17, 2022","5, 9, 14, 28, 52",3,x3,"$22.61 Million "
"Wednesday, Sep 14, 2022","9, 13, 15, 29, 32",7,x3,"$22.39 Million "
"Monday, Sep 12, 2022","1, 6, 9, 11, 20",2,x2,"$22.21 Million "
"Saturday, Sep 10, 2022","19, 24, 32, 33, 52",6,x2,"$21.83 Million "
"Wednesday, Sep 07, 2022","23, 32, 46, 47, 50",5,x3,"$21.61 Million "
"Monday, Sep 05, 2022","2, 30, 36, 39, 46",7,x2,"$21.44 Million "
"Saturday, Sep 03, 2022","6, 8, 13, 26, 30",4,x3,"$20.93 Million "
"Wednesday, Aug 31, 2022","4, 22, 41, 43, 52",4,x2,"$20.7 Million "
"Monday, Aug 29, 2022","4, 16, 17, 22, 43",5,x2,"$20.53 Million "
"Saturday, Aug 27, 2022","5, 9, 19, 34, 51",2,x2,"$20.22 Million "
"Wednesday, Aug 24, 2022","20, 22, 26, 27, 49",4,x3,"$20 Million "
"Monday, Aug 22, 2022","16, 22, 34, 48, 52",8,x3,"$19.84 Million "
"Saturday, Aug 20, 2022","20, 27, 35, 37, 52",6,x3,"$19.25 Million "
"Wednesday, Aug 17, 2022","4, 17, 23, 37, 38",2,x3,"$19.05 Million "
"Monday, Aug 15, 2022","8, 15, 22, 49, 50",3,x3,"$18.88 Million "
"Saturday, Aug 13, 2022","12, 14, 27, 43, 47",7,x2,"$18.52 Million "
"Wednesday, Aug 10, 2022","4, 6, 15, 44, 50",3,x2,"$18.28 Million "
"Monday, Aug 08, 2022","2, 15, 17, 31, 48",8,x2,"$18.07 Million "
"Saturday, Aug 06, 2022","1, 8, 13, 18, 40",1,x3,"$17.84 Million "
"Wednesday, Aug 03, 2022","13, 20, 35, 42, 43",8,x2,"$17.64 Million "
"Monday, Aug 01, 2022","21, 24, 42, 48, 51",10,x4,"$17.51 Million "
"Saturday, Jul 30, 2022","17, 22, 24, 25, 36",5,x3,"$17.41 Million "
"Wednesday, Jul 27, 2022","15, 23, 27, 30, 44",5,x2,"$17.36 Million "
"Monday, Jul 25, 2022","26, 31, 37, 48, 52",4,x3,"$17.31 Million "
"Saturday, Jul 23, 2022","14, 22, 24, 25, 48",4,x3,"$17.26 Million "
"Wednesday, Jul 20, 2022","1, 15, 23, 42, 48",3,x3,"$17.21 Million "
"Monday, Jul 18, 2022","18, 30, 35, 45, 46",7,x3,"$17.16 Million "
"Saturday, Jul 16, 2022","7, 11, 28, 30, 49",1,x2,"$17.11 Million "
"Wednesday, Jul 13, 2022","1, 18, 21, 26, 39",8,x2,"$16.91 Million "
"Saturday, Jul 09, 2022","6, 11, 26, 32, 35",10,x3,"$16.39 Million "
"Wednesday, Jul 06, 2022","1, 3, 8, 14, 50",1,x2,"$16.34 Million "
"Saturday, Jul 02, 2022","9, 19, 43, 44, 50",8,x4,"$16.29 Million "
"Wednesday, Jun 29, 2022","17, 29, 33, 40, 52",10,x4,"$16.17 Million "
"Saturday, Jun 25, 2022","12, 28, 30, 34, 39",6,x5,"$16.12 Million "
"Wednesday, Jun 22, 2022","3, 13, 33, 37, 45",10,x2,"$15.93 Million "
"Saturday, Jun 18, 2022","26, 28, 32, 46, 48",1,x3,"$15.46 Million "
"Wednesday, Jun 15, 2022","12, 19, 35, 38, 48",4,x2,"$15.27 Million "
"Saturday, Jun 11, 2022","14, 25, 29, 33, 37",4,x2,"$14.92 Million "
"Wednesday, Jun 08, 2022","2, 15, 29, 39, 42",1,x2,"$14.72 Million "
"Saturday, Jun 04, 2022","9, 14, 33, 45, 46",9,x3,"$14.15 Million "
"Wednesday, Jun 01, 2022","4, 9, 10, 15, 30",5,x5,"$14.01 Million "
"Saturday, May 28, 2022","7, 20, 40, 42, 52",4,x2,"$13.96 Million "
"Wednesday, May 25, 2022","5, 11, 17, 21, 49",5,x2,"$13.79 Million "
"Saturday, May 21, 2022","11, 21, 29, 32, 46",8,x2,"$13.66 Million "
"Wednesday, May 18, 2022","8, 18, 24, 31, 46",2,x4,"$13.57 Million "
"Saturday, May 14, 2022","1, 10, 30, 33, 44",2,x3,"$13.52 Million "
"Wednesday, May 11, 2022","26, 29, 32, 36, 48",7,x3,"$13.35 Million "
"Saturday, May 07, 2022","18, 32, 43, 48, 51",10,x2,"$12.65 Million "
"Wednesday, May 04, 2022","5, 27, 29, 36, 47",7,x2,"$12.42 Million "
"Saturday, Apr 30, 2022","7, 14, 30, 44, 45",3,x2,"$12.23 Million "
"Wednesday, Apr 27, 2022","10, 24, 35, 36, 50",3,x3,"$12.06 Million "
"Saturday, Apr 23, 2022","6, 15, 31, 43, 46",3,x3,"$11.82 Million "
"Wednesday, Apr 20, 2022","1, 3, 25, 29, 30",6,x5,"$11.62 Million "
"Saturday, Apr 16, 2022","8, 10, 14, 18, 23",2,x2,"$11.14 Million "
"Wednesday, Apr 13, 2022","10, 25, 32, 33, 52",9,x3,"$10.98 Million "
"Saturday, Apr 09, 2022","7, 10, 20, 36, 37",5,x3,"$10.49 Million "
"Wednesday, Apr 06, 2022","22, 27, 38, 42, 43",4,x3,"$10.31 Million "
"Saturday, Apr 02, 2022","3, 4, 11, 43, 44",8,x3,"$10.25 Million "
"Wednesday, Mar 30, 2022","1, 6, 23, 35, 36",8,x2,"$10.09 Million "
"Saturday, Mar 26, 2022","6, 20, 22, 29, 40",9,x4,"$9.63 Million "
"Wednesday, Mar 23, 2022","36, 45, 47, 51, 52",6,x4,"$9.47 Million "
"Saturday, Mar 19, 2022","1, 7, 11, 27, 32",8,x3,"$9.2 Million "
"Wednesday, Mar 16, 2022","2, 16, 34, 40, 41",7,x4,"$9.05 Million "
"Saturday, Mar 12, 2022","4, 19, 22, 43, 48",9,x4,"$8.65 Million "
"Wednesday, Mar 09, 2022","1, 3, 6, 8, 49",2,x3,"$8.6 Million "
"Saturday, Mar 05, 2022","1, 10, 30, 36, 49",3,x4,"$8.55 Million "